Texto,Categoria
NOTICIERO CULTURAL    INFORMATIVO CULTURAL,noticias
MESA REDONDA ESPACIO DE ANÁLISIS DE TEMAS NACIONALES Y FORÁNEOS,noticias
NTV EMISIÓN ESTELAR,noticias
EN LA NOCHE SU CARTELERA  Promoción de la programación,noticias
DE LA GRAN ESCENA TITULO:HABANOS 2021 Freddie Mercury -Jóvenes Clásicos del Son -Danza Contemporánea de Cuba.  Imágenes del tabaco  Vegas y  torcedores.  TITULO:HABANOS 2021 Freddie Mercury -Jóvenes Clásicos del Son -Danza Contemporánea de Cuba.  Imágenes del tabaco  Vegas y  torcedores.,musical
NOVELA Mujeres Ambiciosas  Cap. 9 Mujeres Ambiciosas  Cap. 9,novela
HACEMOS CUBA  HACEMOS CUBA,noticias
DE NUESTRA AMERICA Historias de la revolución  Primer largometraje estrenado por el ICAIC que narra tres episodios de la lucha insurreccional cubana contra la dictadura de Batista. Historias de la revolución  Cuba/1960/81min. /Drama/Rep/R2    Director: Tomas Gutiérrez Alea  Reparto: Bertina Acevedo  Enrique Fong  Miriam Gómez y Francisco Lago  Primer largometraje estrenado por el ICAIC que narra tres episodios de la lucha insurreccional cubana contra la dictadura de Batista: El herido  Rebeldes y La batalla de Santa Clara.  Completamiento  Entrevista: entrevista a los actores cubanos Yasmany Guerrero y Enmanuel Galván  a propósito de su trabajo en la cinta Buscando a Casal  Música: Video clip de película del director Enrique Pineda BarnetLa anunciación  realizado por Pedro Suárez,filme
COORDENADAS Cartelera diaria,noticias
EL TIEMPO Y LA MEMORIA Efemérides de hoy:,historia
COORDENADAS Cartelera diaria,noticias
REVISTA HOLA HABANA Secciones variadas sobre el acontecer en La Habana,noticias
VERDE HABANA Tema: UEB multiplicador mederos 2,educativo
HABANA NOTICIARIO Informativo que aborda los principales sucesos de orden nacional enfatizando en los de marcado interés para la capital.,noticias
CINECITO EN TV Tema: Personajes Negativos Masculinos,filme
PLATAFORMA HABANA Programa dedicado al abordaje de temáticas de Ciencia y Tecnología,noticias
RITMO CLIP Invitado: Santana,musical
LIBRE ACCESO Tema:,noticias
HABANA NOTICIARIO Informativo que aborda los principales sucesos de orden nacional e internacional enfatizando en los de marcado interés para la capital.,noticias
CINEMA HABANA Película: REBECA REINO UNIDO/Suspenso/2020/T: 2:01/ESTRENO Director: Ben Wheatley Reparto: Lily James  Armie Hammer  Kristin Scott Thomas  Keeley Hawes  Ben Crompton  Ann Dowd  Sam Riley  Tom Goodman-Hill  Jane Lapotaire  Bryony Miller  Sinopsis: Una joven (Lily James) contrae matrimonio con un aristócrata (Armie Hammer) y se traslada a vivir a su mansión  de nombre Manderley  situada en Cornualles. Sin embargo  ahí continúa presente la sombra de Rebeca  la anterior mujer del millonario  fallecida en extrañas circunstancias. Remake del célebre filme de Alfred Hitchcock.,filme
NTV DEL MEDIODIA Informaciones nacionales e internacionales. Análisis y comentarios.,noticias
ESTACIÓN CARIBE. Música y cultura identitaria del Caribe.,musical
REVISTA INFORMATIVA EN TIEMPO REAL. Revista informativa con segmentos temáticos y  actualización nacional e internacional.,noticias
DOCUMENTAL. Dedicado al 24 de Febrero,documental
NOTICIERO CULTURAL  Informaciones del ámbito cultural. Segmentos de comentario  crítica e invitados.,noticias
MESA REDONDA  Espacio de información y debate.,noticias
NTV EMISION ESTELAR  las mas importantes  informaciones nacionales e internacionales.,noticias
CONFERENCIA DE PRENSA MINSAP. Información oficial sobre la Covid19 en Cuba.,noticias
HACEMOS CUBA. Análisis de temas de la actualidad en Cuba.,noticias
EL TIEMPO EN EL CARIBE.  Información meteorológica de la región.,noticias
NOTICIERO CULTURAL Informaciones del ámbito cultural. Segmentos de comentario  crítica e invitados.,noticias
RESUMEN 24 Resumen informativo de la jornada.,noticias
Punto de Vista Programa  Informativo,noticias
Dale Play Programa musical Título:,musical
Hora 18 Programa Informativo Título:,noticias
Bola Viva: Análisis  entrevistas y debates relacionados con temporada cubana de béisbol Informaciones y debates sobre el acontecer del béisbol cubano  tanto en eventos nacionales  como internacionales.,deporte
Cuba es Música: Pedrito Camacho Presentaciones  homenajes  aniversarios y productos musicales de discográficas  agrupaciones y múiscos cubanos.,musical
Cubanoticias 1 RTX:  Cubanoticias 1 RTX,noticias
Noticiero Cultural,noticias
Mesa Redonda Sinopsis: Programa estelar  en vivo  en el que un panel de destacados periodistas y especialistas analizan diversos temas de gran importancia del ámbito nacional e internacional. Se realizan contactos,filme
Sitio del arte: Santiago Álvarez I Panorámica de hechos culturales relevantes. Incluye un espacio de crítica cultural especializada.,musical
Bola Viva: Análisis  entrevistas y debates relacionados con temporada cubana de béisbol Informaciones y debates sobre los preparativos de la próxima temporada cubana de béisbol y el accionar de los peloteros cubanos en distintas ligas foráneas.,deporte
Cuba es Música: Pedrito Camacho Presentaciones  homenajes  aniversarios y productos musicales de discográficas  agrupaciones y múiscos cubanos.,musical
Encadenamiento Revista Buenos dias,noticias
Bola Viva: Análisis  entrevistas y debates relacionados con temporada cubana de béisbol Informaciones y debates sobre el acontecer del béisbol cubano  tanto en eventos nacionales  como internacionales.,deporte
Cuba es Música: Pedrito Camacho Presentaciones  homenajes  aniversarios y productos musicales de discográficas  agrupaciones y múiscos cubanos.,musical
CONFERENCIA DE PRENSA CONFERENCIA DE PRENSA,noticias
NOTICIAS.CU EN VIVO NOTICIAS.CU EN VIVO,noticias
ZONA DEPORTIVA EN VIVO ZONA DEPORTIVA EN VIVO,deporte
MESA REDONDA RTX MESA REDONDA RTX,noticias
Bola Viva RTX: Análisis  entrevistas y debates relacionados con temporada cubana de béisbol Informaciones y debates sobre el acontecer del béisbol cubano  tanto en eventos nacionales  como internacionales.,deporte
Cuba es Música: Pedrito Camacho Presentaciones  homenajes  aniversarios y productos musicales de discográficas  agrupaciones y múiscos cubanos.,musical
CUBANOTICIAS 2 EN VIVO CUBANOTICIAS 2 EN VIVO,noticias
MESA REDONDA MESA REDONDA:,noticias
Sitio del Arte: Santiago Álvarez I Panorámica de hechos culturales relevantes. Incluye un espacio de crítica cultural especializada.,musical
CONFERENCIA DE PRENSA RTX CONFERENCIA DE PRENSA RTX,noticias
CUBANOTICIAS 1 EN VIVO CUBANOTICIAS 1 EN VIVO,noticias
Noticiero Cultural EN VIVO Noticiero Cultural EN VIVO,noticias
Mesa Redonda EN VIVO Mesa Redonda EN VIVO,noticias
Cuba es música: Pedrito Camacho Presentaciones  homenajes  aniversarios y productos musicales de discográficas  agrupaciones y múiscos cubanos.,musical
CUBANOTICIAS 1 RTX CUBANOTICIAS 1 RTX,noticias
Mesa Redonda rtx Mesa Redonda rtx,noticias
INFORME COVID-19,noticias
Portada Tele Pinar Cápsula informativa con adelantos de la emisión de Tele Noticias.,noticias
Pasado Presente  Programa histórico que divulga las principales efemérides locales y nacionales.,historia
Tele Noticias Espacio informativo con los acontecimientos más importantes de la semana.,noticias
En Consulta  Programa cuyo objetivo es dar a conocer los hechos más importantes que encierra la historia de la provincia de Pinar del Río desde la colonia hasta nuestros días.  Bajo peso al nacer.,historia
REVISTA BUENOS DÍAS REVISTA INFORMATIVA,noticias
EN LA MAÑANA SU CARTELERA Promoción de la programación,noticias
CONFERENCIA DE PRENSA SOBRE EL ENFRENTAMIENTO A LA COVID-19,noticias
La sombrilla amarilla  Blanca Nieves y los 7 enanitos Uno de nuestros amigos de la casa más feliz se quiere casar con Blanca Nieves  pero primero tendrá que lidiar con los 7 enanitos.  Blanca Nieves y los 7 enanitos Uno de nuestros amigos de la casa más feliz se quiere casar con Blanca Nieves  pero primero tendrá que lidiar con los 7 enanitos.,infantiles
AL MEDIODIA  AL MEDIODIA,noticias
NOTICIERO DEL MEDIODIA,noticias
SERIE  EL MENTALISTA  CAPT 46  EL MENTALISTA  CAPT 46,serie
LAS CRONICAS DEL ZORRO Fuerza (fin de la serie ) Don Esteban es acusado de corrupción por robar una suma de dinero.   Fuerza (fin de la serie ) Don Esteban es acusado de corrupción por robar una suma de dinero.,serie
JUSTO A TIEMPO 2a Temp. Cap. 13 Aventura helada / Los tulipanes de mamá 2a Temp. Cap. 13 Aventura helada / Los tulipanes de mamá Bruno  Tina  Linda y don conocen a Perry Parasaurolofo  quien les enseña a hacer música./ Linda  Tina y Don organizan una fiesta sorpresa para Bruno,musical
VIVA LA MÚSICA Viva la música invita al encuentro con videos musicales de todo el mundo. Se presenta música instrumental y vocal interpretada por diferentes formatos y edades. Viva la música invita al encuentro con videos musicales de todo el mundo. Se presenta música instrumental y vocal interpretada por diferentes formatos y edades. Música de películas  musicales  verdaderos talentos infantiles y mucho más. En esta emisión: Songoro Cosongo Pubertrast  Liuba Maria Hevia - El Piojo  Yesterdey de The Beatles por la niña polaca Ania Wielenska,filme
CONEXION CUBA  Título: Exportación e Importación a las Formas de Gestión no Estatal por el Grupo Empresarial de la Informática y las Comunicaciones  GEIC. Invitada: Licenciada Carmen Fernández del Busto Título: Exportación e Importación a las Formas de Gestión no Estatal por el Grupo Empresarial de la Informática y las Comunicaciones  GEIC. Sinopsis: El grupo empresarial de la informática y las comunicaciones a través de sus entidades integradas  Solintel S.A  Softel y Desoft ofrecen servicios de exportación e importación a la forma no estatal.  Invitada: Licenciada Carmen Fernández del Busto Directora de Negocios de la Empresa GEIC Secciónes: “.CU” conducido por Leyber Gómez desde la empresa GEIC  “TecnoTv”  el conocedor de temas informáticos y tecnológicos Erich García abordará el tema del Acompañamiento Parental,filme
ESTE DIA    1895: Inicio de la Guerra de Independencia. Cuba. 1912: Nace René Portocarrero. Cuba. 1926: Nace Rafaela Chacón  Nardi. Cuba. 1895: Inicio de la Guerra de Independencia. Cuba. Bajo la guía certera de José Martí  se organizó el Partido Revolucionario Cubano  para llevar a cabo una Revolución capaz de conquistar la independencia patria. Las acciones del 24 de febrero de 1895 respondieron a un plan que contemplaba el alzamiento de numerosos grupos organizados en la Isla con ese objetivo. 1912: Nace René Portocarrero. Cuba. De formación autodidacta  poseía un estilo muy peculiar de aplicar el color.Sus vitrales del parque Lenin y el gigantesco mural en cerámica del Palacio de la Revolución  son muestras elocuentes de sus más depuradas técnicas. 1926: Nace Rafaela Chacón  Nardi. Cuba. Se desempeñó como maestra en distintos niveles de enseñanza  y ocupó diversos cargos en el Ministerio de Educación. Representó a Cuba en varios países y se desempeñó como funcionaria del Centro Regional de la UNESCO en el hemisferio Occidental. Como escritora y poetisa colaboró en numerosas publicaciones y su obra poética ha sido traducida a varios idiomas y recogidas en antologías. Publicó  entre otros  Viaje al sueño  Monografía de la profesión del periodista  Los museos y la educación y Apreciación de las artes visuales.,historia
TALLA JOVEN  Tema: El afro  un estilo de moda. Invitados: Cimafunk  Sección: ¡Te atreves! Título: El afro  un estilo de moda. Invitados: Cimafunk  Sección:  En la Red :Imágenes de Cimafunk y 7 consejos para cuidar el cabello. La correspondencia :se dan a conocer los  correos recibidos de los televidentes.,musical
CINEFLASH Programa 320,filme
SERIE JUVENIL EXTRANJERA    LOBO ADOLESCENTE CAP 8 TEMP 3  LOBO ADOLESCENTE CAP 8 TEMP 3,serie
NTV EMISIÓN ESTELAR,noticias
EN LA NOCHE SU CARTELERA  Promoción de la programación,noticias
DE LA GRAN ESCENA TITULO:HABANOS 2021 Freddie Mercury -Jóvenes Clásicos del Son -Danza Contemporánea de Cuba.  Imágenes del tabaco  Vegas y  torcedores.  TITULO:HABANOS 2021 Freddie Mercury -Jóvenes Clásicos del Son -Danza Contemporánea de Cuba.  Imágenes del tabaco  Vegas y  torcedores.,musical
NOVELA Mujeres Ambiciosas  Cap. 9 Mujeres Ambiciosas  Cap. 9,novela
Telecine La Verdad sobre Gatos y Perros Abby es una joven y simpática locutora de radio que tiene un programa sobre animales. A pesar de ser una mujer inteligente y dulce  está acomplejada por su físico.  La Verdad sobre Gatos y Perros  Título original:The Truth About Cats & Dogs  Año: 1996 Duración: 97 min. País:Estados Unidos Dirección:Michael Lehmann  Sinopsis:Uma Thurman  Janeane Garofalo  Ben Chaplin  Jamie Foxx  James McCaffrey  Richard Coca  Stanley DeSantis  Mitch Rouse   Género: Comedia Sinopsis: Abby es una joven y simpática locutora de radio que tiene un programa sobre animales. A pesar de ser una mujer inteligente y dulce  está acomplejada por su físico  así que cuando Brian  un chico que conoció por una llamada a su programa  le propone que se encuentren  Abby le pide a una vecina  modelo  que se haga pasar por ella.,filme
BOLETÍN INFORMATIVO Espacio que en breves minutos le ofrece los principales adelantos informativos del territorio.,noticias
RANCHON GUAJIRO Los campesinos tienen cita frente a su pantalla para disfrutar de musicales  danzas folklóricas  informaciones y temas de su interés  convidados cada miércoles al ranchón guajiro de CNC.,musical
VIVENCIAS A petición de los públicos llegan documentales que socializan las vivencias de personas comunes de Granma para mantener vivas nuestra cultura e identidad.,documental
NOTICIERO EN DIRECTO En directo llegan las informaciones noticiosas más relevantes de Granma.,noticias
Revista especial COVID-19 Revista informativa especial,noticias
Revista especial COVID-19 Revista informativa especial  Comercio: Dietas médicas,noticias
Apertura Himno y Cartelera del Canal.,noticias
En Primer Plano Actualidad informativa de la Provincia.,noticias
Cierre Cierre del Canal.,noticias
Reapertura Himno y Cartelera del Canal.,noticias
Conmemoraciones Dar a conocer los hechos más relevantes de la historia cubana  con marcado énfasis en  los del territorio. Mantener viva la memoria histórica-cultural.,historia
Noticias al Cierre Realizar un resumen informativo de las noticias más importantes acontecidas durante del día en los 14 municipios  así como actualizar de última hora las condiciones del tiempo y el deporte.,noticias
Cierre Cierre del Canal.,noticias
Efemérides Se relatan hechos históricos de los tuneros por la independencia de Cuba. 1895- Inicio de la guerra organizada por José Martí. En la fecha se levantaron hombres de Manzanillo  Bayamo  Jiguaní  Tunas y Holguín.   1977- La escultora Rita longa Aróstegui decide iniciar la construcción de la fuente de Las Antillas  en Las Tunas.  1940- Sale al aire por primera vez la emisora radial CMKY  Radio Puerto Padre. fue fundada por Pedro Zacca Cheda  comerciante de origen libanés y Rafael López.,historia
Déjate Ver Mediante temas para el desarrollo orientar a la familia con apoyatura de especialistas. Posee varias secciones de interés y la música ofrece un respiro artístico. Temas: ETECSA  Correos  Joven Club y Psicología.,musical
Cartelera Cartelera vespertina Promoción de la programación vespertina.,noticias
Efemérides Se relatan hechos históricos de los tuneros por la independencia de Cuba. 1895- Inicio de la guerra organizada por José Martí. En la fecha se levantaron hombres de Manzanillo  Bayamo  Jiguaní  Tunas y Holguín.   1977- La escultora Rita longa Aróstegui decide iniciar la construcción de la fuente de Las Antillas  en Las Tunas.  1940- Sale al aire por primera vez la emisora radial CMKY  Radio Puerto Padre. fue fundada por Pedro Zacca Cheda  comerciante de origen libanés y Rafael López.,historia
Cinepunto Net Informar el acontecer cinematográfico cubano e internacional. Tema: El documental en las redes: La narrativa transmedia.,documental
LTV Noticias Divulgar e informar el acontecer noticioso de la provincia. Informar sobre el acontecer noticioso en las diferentes esferas de la vida del pueblo tunero a través de los géneros periodísticos que son tratados en el espacio.,noticias
HIMNO APERTURA Inicio de Transmisiones,historia
Panel Informativo Programa Informativo de debate con el Tema: Universidad de Oriente. Inicio del curso escolar. Modalidad No Presencial.,noticias
"Material Audiovisual Espacio histórico con tema: Momentos de la Historia  24 de febrero: ""Grito de Baire""",historia
Telenoticias Noticiero Resumen que cierra las Transmisiones,noticias
PROGRAMACION DE TELESUR Noticias  análisis internacional  una visión del panorama político desde la perspectiva del Sur económico y de los pueblos  junto a más temas diversos.,noticias
PROGRAMACIÓN DE TELESUR  Noticias  análisis internacional  una visión del panorama político desde la perspectiva del Sur económico y de los pueblos  junto a más temas diversos.,noticias
TELESUR Noticias  análisis internacional  una visión del panorama político desde la perspectiva del Sur económico y de los pueblos  junto a más temas diversos.,noticias
HIMNO APERTURA INICIO DE TRANSMISIONES INICIO DE TRANSMISIONES,historia
ESTOCADA AL TIEMPO EFEMÉRIDES DEPORTIVOS EFEMÉRIDES DEPORTIVOS,historia
PROGRAMACIÓN EDUCATIVA ARTISTICA  Rutina de ejercicios Rutina de ejercicios,educativo
PROGRAMACIÓN EDUCATIVA ARTISTICA  Escultura. Nivel medio Escultura. Nivel medio,educativo
PROGRAMACIÓN EDUCATIVA ARTISTICA  Historia de la música cubana. Nivel Medio Historia de la música cubana. Nivel Medio,musical
PROGRAMACIÓN EDUCATIVA ARTISTICA  Viento  madera. Nivel elemental y medio Viento  madera. Nivel elemental y medio,educativo
SÍGUENOS PROGRAMA DE EJERCICIOS PROGRAMA DE EJERCICIOS,deporte
LA JUGADA PERFECTA  rtx,deporte
A TODO MOTOR rtx,deporte
MERIDIANO DEPORTIVO   NOTICIAS,noticias
60 SERIE NACIONAL DE BEISBOL GRANMA vs PINAR DEL RÍO DESDE EL JOSÉ A. HUELGA GRANMA vs PINAR DEL RÍO DESDE EL JOSÉ A. HUELGA,serie
NND  NOTICIAS,noticias
ESTOCADA AL TIEMPO  rtx,historia
60 SERIE NACIONAL DE BEISBOL GRANMA vs PINAR DEL RÍO DESDE EL JOSÉ A. HUELGA GRANMA vs PINAR DEL RÍO DESDE EL JOSÉ A. HUELGA,serie
MERIDIANO DEPORTIVO RETRANSMISION  RTX,deporte
SET Y CINE Curiosidades Filme Batman,filme
UTILISIMO :  Ideas  Tema:  banco infantil  muro de luz y banco forrado de musgo,educativo
DOCUMENTAL : El espectáculo de la Tierra. Capítulo 2 El planeta dibujado Sinopsis: Historias de la vida en nuestro planeta desde una nueva perspectiva. Usando cámaras en el suelo  en el aire y en el espacio  la tierra desde el espacio sigue los mejores espectáculos.,filme
SERIE :   Hermanos y Hermanas       TEMP 5    Hermanos y Hermanas       TEMP 5   Cap 2,serie
SERIE :  Friends      7ma temp  Friends      7ma temp   Cap. 23,serie
SERIE JUVENIL :   KYLE XY   2DA TEMP   KYLE XY   2DA TEMP   CAP. 11,serie
SERIE :  Goliath     3Ra Temp   Goliath     3Ra Temp   Cap 6,serie
CARTELERA CARTELERA,noticias
HOLA CHICO Frankie y Frank ¨Hacer turnos¨  Fancy Nancy Clancy  Top Wing ¨Las alas de Timmy¨ Petter Rabbit ¨La aventura del Dr Bodtail¨  Zack y Quack ¨ Estrellas del pop ¨,infantiles
DOCUMENTAL  : Hombres del Artico. Temporada de trampas   Título: Hombres del Artico. Temporada de trampas,documental
UTILISIMO:  Luz en Casa   Tema: Reciclar botellas  lámparas con aros de bordar y bancos de cemento,educativo
DOCUMENTAL : Nanotecnologías. La revolución invisible. Capítulo 1 Por un planeta más verde Sinopsis: Documental sobre las posibilidades que permite la nanotecnología de vislumbrar soluciones radicalmente nuevas  cristales nanométricos que permitirán a las placas solares ocupar un lugar...,filme
DOCUMENTAL : La Tierra de Noche. Ciudades noctámbulas. Parte 2 Sinopsis:  Documental que explorará el mundo nocturno  ofreciendo una visión de un entorno de vida silvestre raramente visto o entendido  pero altamente activo.,filme
D´CINE :  El Espejo Roto Sinopsis: La célebre detective aficionada Miss Marple vive en una pequeña y apacible aldea inglesa. La llegada de un equipo de rodaje de Hollywood altera la paz del lugar.,filme
SET Y CINE  CURIOSIDADES: Filme Las Brujas,filme
ASI ES CHINA : El encuentro entre la ópera Kunqu y la animación. Sinopsis: China  un país lleno de bellas y asombrosas tradiciones culturales  hoy nos acerca al encuentro entre la ópera Kunqu y la animación enseñándonos el gran significado de esta novedosa fusión,filme
AIRES DE MEXICO Talento: Alicia Villarreal - Yo sin tu amor - El príncipe / Joss Favela - Ya no quiero andar contigo / Mi Banda El Mexicano - No bailes de caballito,musical
FACILISIMO Mickey Mouse ¨Mousekejercicios¨  Animalmanía  Miracolous ¨Problemática¨,educativo
SERIE INFANTIL :  AVATAR    TEMP 3  CAP 16         Los invasores del sur,serie
SERIE JUVENIL : KYLE XY   2DA TEMP  KYLE XY   2DA TEMP   CAP. 12,serie
AIRES DE MEXICO Talento: Alicia Villarreal - Yo sin tu amor - El príncipe / Joss Favela - Ya no quiero andar contigo / Mi Banda El Mexicano - No bailes de caballito,musical
SERIE : Hermanos y Hermanas    TEMP. 5 Hermanos y Hermanas    TEMP. 5  Cap 3,serie
CARTELERA CARTELERA,noticias
DOCUMENTAL : El ultimo de su especie. El tigre de  Tasmania Título: El ultimo de su especie. El tigre de  Tasmania,documental
DOCUMENTAL : Hola China. Los fuertes en ayuda a los débiles. SINOPSIS: La lucha contra la pobreza es una prioridad en el país. Y para llevarla a la práctica grandes corporaciones alimentarias ayudan a desarrollarse a pequeñas localidades campesinas .,filme
UTILISIMO :   Luz en Casa   Tema: Reciclar botellas  lámparas con aros de bordar y bancos de cemento,educativo
DOCUMENTAL : La Tierra de Noche. Ciudades noctámbulas. Parte 2 Sinopsis:  Documental que explorará el mundo nocturno  ofreciendo una visión de un entorno de vida silvestre raramente visto o entendido  pero altamente activo.,filme
FACILISIMO Mickey Mouse ¨Mousekejercicios¨  Animalmanía  Miracolous ¨Problemática¨,educativo
SERIE INFANTIL :  AVATAR      TEMP 3  CAP 16    Los invasores del sur,serie
SERIE :  Friends    7ma temp     Fin de temp       Friends     7ma temp    Cap 24    Fin de temp,serie
DOCUMENTAL : Nanotecnologías. La revolución invisible. Capítulo 1 Por un planeta más verde Sinopsis: Documental sobre las posibilidades que permite la nanotecnología de vislumbrar soluciones radicalmente nuevas  cristales nanométricos que permitirán a las placas solares ocupar un lugar.,filme
SERIE :  DOCTOR BULL.        TEMP 2          DOCTOR BULL.        TEMP 2           Cap. 11,serie
DOCUMENTAL : Pasiones peligrosas: Cosecharas tu siembra  asesinato de Archie TÍTULO: Pasiones peligrosas: Cosecharas tu siembra  asesinato de Archie,documental
SERIE JUVENIL :  KYLE XY   2DA TEMP   KYLE XY   2DA TEMP   CAP. 12,serie
CARTELERA CARTELERA,noticias
SERIE :   Hermanos y Hermanas    TEMP. 5    Hermanos y Hermanas    TEMP. 5   Cap 3,serie
D´CINE :  El Espejo Roto Sinopsis La célebre detective aficionada Miss Marple vive en una pequeña y apacible aldea inglesa. La llegada de un equipo de rodaje de Hollywood altera la paz del lugar.,filme
Serie Documental,documental
Ciencias Naturales 6to grado Primaria y Especial. - Pinar del Rio - 8:30 La hoja. Su diversidad. Aspecto externo.,educativo
Telecentros,noticias
Geografía 10mo grado. - Pinar del Rio - 1:00 Cuba en la zona tropical. Cambio Climático.,educativo
Química 11no grado y 2do año de la E.T.P. - Pinar del Rio - 1:30 Clasificar las reacciones químicas en exotérmicas o endotérmicas.,educativo
Matemática 8vo grado.  - Pinar del Rio - 2:00 Ejercicios de cálculo y demostración de igualdad de triángulos.,educativo
Ciencias Naturales 5to grado de Primaria y Especial. - Pinar del Rio - 2:30 Los cambios de estado. La fusión. La solidificación.,educativo
Mirada de artista Escuela Nacional de Ballet (2da parte) Sinopsis: Conversando con especialistas  en cada emisión se abordan temas que nos ayudan a comprender mejor el arte y sus protagonistas  sobre,filme
Telecentros,noticias
Saberes compartidos VIDEO CLIP Sinopsis: Un espacio diseñado para compartir saberes  donde se recrean temas con la presentación de materiales audiovisuales que ilustran cada caso,filme
De tarde en casa Trasplante de órganos y donaciones en Cuba.,noticias
Serie Extranjera Cobra Kai (temp-3)    Capítulo 5 EEUU/AVENT                      2020/T-27 min/ Dirección: Josh Heald INT: Wiiliam Zabka  Ralph Macchio  Courtney Henggeler  Xolo. Sinopsis: En esta nueva temporada ve,filme
NTV Con lengua de Señas.,noticias
De Cierta Manera Documental: Festival de la Cultura caribeña  Justo Vega  1989 Corto de animación Fundación  Juan Padrón  2019 Largometraje La viuda de Montiel  Miguel Littin  1985,documental
Mesa Redonda      (rtx),noticias
CUBANOS EN CLIP  Rosalíz La Cruzada Los Hermanos Bravo Peter Nieto OMAR VALI Athanai & Pablo Milanés Dúo Alaya El Septeto Santiaguero & El Médico JAYBY Leoni Torres Kmilo Bass Jorge Barret SUR CARIBE EFRAÍN GALINDO,musical
CONCIERTO    Lissie,musical
DALE CLAVE  JULIO RIGAL  MAURICIO FIGUEIRAL WIL CAMPA  LA TABLA EMILIO VEGA Y SUS ESTRELLAS AREÍTO  MULATASON,musical
RETRO MÚSICA  Sade Sam Brown Phills Collins,musical
MÚSICA HABANA  ARNALDO Rodríguez,musical
ROCKANROLEANDO  Talento: A perfect circle  Amon Amarth  Deep Purple  Fall out voy  Kings of Leon Paramore   The Rolling Stone.,musical
CLAVE LATINA Carlos Rivera- Regrésame mi corazón. Bronco/ Julieta Venegas- Adoro. Diván/ Lenier- Pobre Corazón. Dvicio / Lali- Soy de Volar. El niño y La Verdad- Con Eleggua y Con Orula. Fanny Lu/ Farina-,musical
CONCIERTO  Lissie,musical
CONCIERTOS ONLINE   Pancho Amat Yarini,musical
CUBANOS EN CLIP  Rosalíz La Cruzada Los Hermanos Bravo Peter Nieto OMAR VALI Athanai & Pablo Milanés Dúo Alaya El Septeto Santiaguero & El Médico JAYBY Leoni Torres Kmilo Bass Jorge Barret SUR CARIBE EFRAÍN GALINDO,musical
SERIE  SOUNDTRACK Cap. 6 SINOPSIS:  Serie musical romántica que describe los avatares amorosos de un grupo de personas en Los Ángeles a través de números exitosos del pop.,filme
RETRO MÚSICA   Sade Sam Brown Phills Collins,musical
DALE CLAVE  JULIO RIGAL  MAURICIO FIGUEIRAL WIL CAMPA  LA TABLA EMILIO VEGA Y SUS ESTRELLAS AREÍTO  MULATASON,musical
CONCIERTOS ONLINE  Pancho Amat Yarini,musical
CUBANOS EN CLIP Rosalíz La Cruzada Los Hermanos Bravo Peter Nieto OMAR VALI Athanai & Pablo Milanés Dúo Alaya El Septeto Santiaguero & El Médico JAYBY Leoni Torres Kmilo Bass Jorge Barret SUR CARIBE EFRAÍN GALINDO,musical
BEL CANTO  TÍTULO: LA JOVEN BARTOLI. Concierto lírico y filme documental. CONTENIDO: Recital de la célebre mezzosoprano Cecilia Bartoli en el Teatro «Savoy» de Londres en 1991.  TÍTULO: LA JOVEN BARTOLI. Concierto lírico y filme documental. CONTENIDO: Recital de la célebre mezzosoprano Cecilia Bartoli en el Teatro «Savoy» de Londres en 1991. Contiene obras de Pergolesi  Vivaldi  Mozart  Rossini y otros autores. Se incluye un filme documental de su vida cotidiana por entonces y comentarios de familiares y expertos./// TALENTO: Cecilia BARTOLI  mezzosoprano / Silvana BARTOLI  soprano (Italia) / Georg FISCHER pianista / Christopher Raeburn / Rodney Milnes  Opera Magazine / Brian Large y Edward Thom as  directores.//,documental
COORDENADAS Cartelera diaria,noticias
EL TIEMPO Y LA MEMORIA Efemérides de hoy:,historia
COORDENADAS Cartelera diaria,noticias
REVISTA HOLA HABANA Secciones variadas sobre el acontecer en La Habana,noticias
SECUENCIA Tema: Documental “Cuervos y Sobrinos: el valor del tiempo” dirigido por Alfredo Herrera Sánchez que se acerc a la historia de la legendaria marca de relojes fundada en La Habana en 1882,historia
HABANA NOTICIARIO Informativo que aborda los principales sucesos de orden nacional enfatizando en los de marcado interés para la capital.,noticias
MUSICALÍSIMO David Blanco  Buena Fe  Raúl Paz,musical
BREVES ESTACIONES Tema: Obra del realizador Luis Hidalgo Ramos. Documental “Desde un castillo en ruinas”  sobre Marcelina Rodríguez Quintana.,documental
TRAVESÍA Tema:  Botánica Sinopsis: Recorrido por curiosidades del universo de las plantas  nombres  definiciones  tradiciones y cultura asociadas.,filme
BANDA SONORA Película: Citizien Kane (El ciudadano Kane) Guionista: Yumary Cruz Drama/USA/1941 Director: Orson Welles  Música: Bernard Herrmann  Protagonistas: Orson Welles  Joseph Cotton  Everett Sloane  George Coulouris  Dorothy Comingore  Ray Collins  Sinopsis: Un periodista se obsesiona con el hecho de comprender el significado de la última palabra que Charles Foster Kane dijo antes de morir. Para descubrir el misterio investiga a varias personas del pasado del magnate.,filme
NOVELA “LATIDOS COMPARTIDOS” CAP.86,novela
HABANA NOTICIARIO Informativo que aborda los principales sucesos de orden nacional enfatizando en los de marcado interés para la capital.,noticias
"SERIE ""PERSONA DE INTERÉS"" TEMP.5 CAP.9",serie
